FineGrainedBlock
1;2015-10-05;13:41:35;;;0;01:33:00;
30;1;20
0.0;0.0

a1
A1_0p25kNs;sa1;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
92;100;100;14:46:08:653;3.21;1.37
93;100;100;14:46:08:953;3.28;1.38
94;100;100;14:46:09:253;3.41;1.38
95;100;100;14:46:09:553;3.35;1.39
96;100;100;14:46:09:853;3.41;1.39
97;100;100;14:46:10:153;3.31;1.41
98;100;100;14:46:10:453;3.34;1.42
99;100;100;14:46:10:483;3.30;1.42
100;100;100;14:46:10:758;3.43;1.43
101;100;100;14:46:11:058;3.49;1.44
102;100;100;14:46:11:358;3.36;1.45
103;100;100;14:46:11:658;3.58;1.46
104;100;100;14:46:11:958;3.64;1.46
105;100;100;14:46:12:063;3.53;1.47
106;100;100;14:46:12:198;2.39;1.52
107;100;100;14:46:12:268;2.60;1.56
108;100;100;14:46:12:288;2.54;1.57
109;100;100;14:46:12:363;2.69;1.62
110;100;100;14:46:12:453;2.88;1.67

a8
A8_0p1kNs;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;14:49:52:329;1.53;0.00
2;100;100;14:49:52:517;1.42;0.00
3;100;100;14:49:52:817;1.46;0.00
4;100;100;14:49:53:116;1.64;0.00
5;100;100;14:49:53:416;1.56;0.00
6;100;100;14:49:53:716;1.68;0.00
7;100;100;14:49:54:017;1.66;0.00
8;100;100;14:49:54:317;1.61;0.00
9;100;100;14:49:54:616;1.67;0.00
10;100;100;14:49:54:916;1.62;0.00
11;100;100;14:49:55:216;1.82;0.00
12;100;100;14:49:55:517;1.82;0.01
13;100;100;14:49:55:817;1.81;0.01
14;100;100;14:49:56:116;1.75;0.03
15;100;100;14:49:56:416;1.63;0.05
16;100;100;14:49:56:461;1.76;0.05
17;100;100;14:49:56:722;1.92;0.07
18;100;100;14:49:57:022;1.83;0.09
19;100;100;14:49:57:222;1.77;0.10
20;100;100;14:49:57:326;1.72;0.11
21;100;100;14:49:57:626;1.80;0.14
22;100;100;14:49:57:746;1.66;0.15
23;100;100;14:49:57:932;1.73;0.18
24;100;100;14:49:58:067;1.76;0.20
25;100;100;14:49:58:237;1.91;0.23
26;100;100;14:49:58:371;1.78;0.25
27;100;100;14:49:58:541;1.72;0.27
28;100;100;14:49:58:711;1.70;0.31
29;100;100;14:49:58:847;1.69;0.34
30;100;100;14:49:58:921;1.78;0.36
31;100;100;14:49:59:102;1.78;0.41
32;100;100;14:49:59:156;1.67;0.42
33;100;100;14:49:59:392;1.69;0.46
34;100;100;14:49:59:461;1.90;0.47
35;100;100;14:49:59:546;1.72;0.51
36;100;100;14:49:59:666;1.77;0.56
37;100;100;14:49:59:772;1.81;0.59
