CoarseGrainedBlock
1;2015-11-12;09:22:57;;;27;05:57:00;
30;1;20
0.0;0.0

c2
Cplane_A60_3_II;sc3ii;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
9;100;100;15:12:37:904;2.16;0.25
10;100;100;15:12:37:953;2.17;0.26
11;100;100;15:12:38:254;2.10;0.32
12;100;100;15:12:38:453;1.84;0.37
13;100;100;15:12:38:654;2.19;0.43
14;100;100;15:12:38:854;2.02;0.49
15;100;100;15:12:39:054;2.18;0.55
16;100;100;15:12:39:254;1.98;0.61
17;100;100;15:12:39:404;2.10;0.67
18;100;100;15:12:39:604;1.88;0.73
19;100;100;15:12:39:754;2.27;0.79
20;100;100;15:12:39:953;2.15;0.85
21;100;100;15:12:40:154;2.53;0.90
22;100;100;15:12:40:453;2.61;0.96
23;100;100;15:12:40:703;2.57;1.01
24;100;100;15:12:41:054;2.50;1.06
25;100;100;15:12:41:453;2.65;1.11
26;100;100;15:12:41:554;2.97;1.13
27;100;100;15:12:41:754;2.16;1.17
28;100;100;15:12:41:804;2.04;1.18
29;100;100;15:12:41:904;2.18;1.24
30;100;100;15:12:42:054;2.31;1.31
31;100;100;15:12:42:203;2.40;1.36

b12
B12;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm
1;100;5000;15:27:24:658;1.66;0.00
2;100;100;15:27:25:201;1.94;0.00
3;100;100;15:27:25:801;1.90;0.00
4;100;100;15:27:26:401;1.78;0.00
5;100;100;15:27:27:001;1.87;0.00
6;100;100;15:27:27:601;2.04;0.00
7;100;100;15:27:28:201;2.07;0.00
8;100;100;15:27:28:801;1.96;0.01
9;100;100;15:27:29:401;2.08;0.02
10;100;100;15:27:30:001;2.26;0.05
11;100;100;15:27:30:111;2.01;0.05
12;100;100;15:27:30:551;2.03;0.10
13;100;100;15:27:30:621;2.33;0.11
14;100;100;15:27:30:981;2.17;0.15
15;100;100;15:27:31:231;1.96;0.20
16;100;100;15:27:31:241;2.05;0.21
17;100;100;15:27:31:531;1.89;0.26
18;100;100;15:27:31:731;2.15;0.31
19;100;100;15:27:31:861;1.90;0.32
20;100;100;15:27:31:991;2.05;0.36
21;100;100;15:27:32:191;1.73;0.41
22;100;100;15:27:32:371;2.17;0.46
23;100;100;15:27:32:491;2.01;0.49
24;100;100;15:27:32:531;1.78;0.51
25;100;100;15:27:32:701;2.15;0.56
26;100;100;15:27:32:851;1.80;0.62
27;100;100;15:27:32:991;2.09;0.67
28;100;100;15:27:33:131;2.04;0.71
29;100;100;15:27:33:151;1.97;0.72
30;100;100;15:27:33:291;2.04;0.77
31;100;100;15:27:33:411;2.01;0.83
32;100;100;15:27:33:561;2.09;0.88
33;100;100;15:27:33:711;2.45;0.93
34;100;100;15:27:33:781;2.15;0.96
35;100;100;15:27:33:851;2.24;0.98
36;100;100;15:27:34:061;2.59;1.03
37;100;100;15:27:34:261;2.45;1.09
38;100;100;15:27:34:411;2.74;1.11
39;100;100;15:27:34:611;2.69;1.14
40;100;100;15:27:34:901;2.74;1.19
41;100;100;15:27:35:011;2.96;1.20
42;100;100;15:27:35:041;3.01;1.21
43;100;100;15:27:35:351;2.99;1.24
44;100;100;15:27:35:651;2.85;1.26
45;100;100;15:27:35:781;2.39;1.29
46;100;100;15:27:35:901;1.98;1.34
47;100;100;15:27:36:041;2.48;1.40
48;100;100;15:27:36:171;2.51;1.45

x
x;50.000;40.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg
;;;;kN;mm

